500 0.20
1000 0.36
1500 0.69
2000 1.03
2500 1.91
3000 2.81
3500 4.47
4000 7.00
4500 8.67
5000 10.65
5500 13.93
6000 17.51
6500 20.89
7000 26.58
7500 32.41
8000 39.57
8500 44.17
9000 53.43
9500 60.11
10000 70.82
10500 95.34
11000 96.22
11500 105.63
12000 120.52
12500 172.28
13000 185.13
13500 191.40
14000 187.63
14500 227.29
